start_date,Time,temperature,wind,precipi_
2018-06-09,11:53 PM,57 F,9 mph,0.0 in
2018-06-09,12:53 AM,57 F,7 mph,0.0 in
2018-06-09,1:53 AM,58 F,7 mph,0.0 in
2018-06-09,2:53 AM,63 F,14 mph,0.0 in
2018-06-09,3:53 AM,64 F,16 mph,0.0 in
2018-06-09,4:53 AM,66 F,21 mph,0.0 in
2018-06-09,5:53 AM,67 F,26 mph,0.0 in
2018-06-09,6:53 AM,66 F,25 mph,0.0 in
2018-06-09,7:53 AM,68 F,23 mph,0.0 in
2018-06-09,8:53 AM,66 F,23 mph,0.0 in
2018-06-09,9:53 AM,65 F,23 mph,0.0 in
2018-06-09,10:53 AM,64 F,21 mph,0.0 in
2018-06-09,11:53 AM,62 F,15 mph,0.0 in
2018-06-09,12:53 PM,61 F,20 mph,0.0 in
2018-06-09,1:53 PM,58 F,10 mph,0.0 in
2018-06-09,2:53 PM,58 F,5 mph,0.0 in
2018-06-09,3:53 PM,58 F,12 mph,0.0 in
2018-06-09,4:53 PM,57 F,7 mph,0.0 in
2018-06-10,5:53 PM,57 F,7 mph,0.0 in
2018-06-10,6:53 PM,55 F,6 mph,0.0 in
2018-06-10,7:53 PM,56 F,0 mph,0.0 in
2018-06-10,8:53 PM,53 F,3 mph,0.0 in
2018-06-10,9:53 PM,52 F,3 mph,0.0 in
2018-06-10,10:53 PM,50 F,0 mph,0.0 in
2018-06-10,11:53 PM,54 F,5 mph,0.0 in
2018-06-10,12:53 AM,57 F,9 mph,0.0 in
2018-06-10,1:53 AM,60 F,8 mph,0.0 in
2018-06-10,2:53 AM,62 F,9 mph,0.0 in
2018-06-10,3:53 AM,63 F,8 mph,0.0 in
2018-06-10,4:53 AM,65 F,13 mph,0.0 in
2018-06-10,5:53 AM,66 F,15 mph,0.0 in
2018-06-10,6:53 AM,68 F,16 mph,0.0 in
2018-06-10,7:53 AM,68 F,15 mph,0.0 in
2018-06-10,8:53 AM,70 F,17 mph,0.0 in
2018-06-10,9:53 AM,67 F,17 mph,0.0 in
2018-06-10,10:53 AM,65 F,22 mph,0.0 in
2018-06-10,11:53 AM,64 F,20 mph,0.0 in
2018-06-10,12:53 PM,62 F,18 mph,0.0 in
