a,month,cluster,inter_vol,inter_time,intra_vol,intra_time,intra_inter_vol,intra_inter_time
61,02,7,113.32283464566945,68.80908594886321,130.5767716535435,85.82910233281302,1.1522547248471373,1.2473512930632236
62,02,8,227.69881889763806,145.93443684352107,16.200787401574818,8.703751438155146,0.07115007218749728,0.059641518660107536
63,02,9,199.46850393700808,123.37437781266678,44.431102362204804,31.263810469009556,0.22274745879798694,0.25340602338421453
64,02,10,176.5137795275591,112.91841917682049,67.38582677165365,41.719769104855764,0.38175958246439734,0.3694682356429929
65,02,11,215.79527559055137,136.7449028133887,28.10433070866141,17.89328546828763,0.13023607969057857,0.13085157179647136
66,02,12,216.63976377952767,139.93710417486744,27.259842519685044,14.70108410680876,0.12583028177332736,0.10505494017110767
67,02,13,223.9192913385827,143.78114964260794,19.980314960629908,10.857038639068271,0.08922998479134242,0.07551086262736982
68,02,14,207.06496062992127,129.7223938804884,36.834645669291326,24.91579440118791,0.1778893230280732,0.1920701095305296
69,02,15,196.06692913385814,122.21961332054629,47.832677165354355,32.41857496112991,0.24396096463926456,0.265248547924182
70,03,2,157.07512315270606,116.43656802604994,63.11083743842314,46.8122622476325,0.4017876043749317,0.4020408969556657
71,03,3,172.4753694581261,130.66861331474576,47.710591133004854,32.58021695893639,0.276622634773298,0.24933468055147534
72,03,4,142.39655172413748,103.68039847347902,77.78940886699498,59.56843180020323,0.5462871672461221,0.574538993650189
73,03,5,100.53940886699537,76.52028343250541,119.64655172413717,86.72854684117681,1.19004630196721,1.1334059800977552
74,03,6,88.27832512315287,65.46838110695255,131.90763546797987,97.78044916672974,1.4942244915041358,1.493552269254841
75,03,7,189.62931034482762,140.99372262206757,30.556650246305463,22.255107651614715,0.1611388565973284,0.15784467022882526
76,03,8,175.6133004926111,130.71036165954985,44.57266009852231,32.5384686141324,0.2538114139048238,0.24893564826086687
77,03,9,162.14655172413794,123.7360455585149,58.03940886699522,39.5127847151673,0.357944145279996,0.319331238822253
78,03,10,131.02093596059126,95.11214859663504,89.16502463054195,68.13668167704722,0.6805402814200716,0.7163825303328056
79,03,11,202.16995073891644,150.31145585701233,18.016009852216754,12.937374416669906,0.08911319306538658,0.08607044847584285
80,03,12,206.76847290640396,150.0061087411108,13.41748768472907,13.242721532571437,0.06489136131891172,0.08828121496989493
81,03,13,172.86576354679812,123.52130956201447,47.320197044334996,39.72752071166784,0.27373955416871487,0.321624834229291
82,03,14,164.36330049261088,117.88856070005743,55.82266009852223,45.36026957362481,0.33962971010692133,0.38477244360489266
83,03,15,209.5874384236455,154.48575376571134,10.598522167487687,8.7630765079709,0.05056849898639713,0.05672417225772631
