,start_date,station_id,station_cap,station_has_kiosk,trip_count_out,trip_count_in,trip_count_net,trip_count_net_prev7,trip_count_net_prev14,trip_count_net_prev21,trip_count_net_prev28,trip_count_net_7d_mean,trip_count_net_7d_mean_all,trip_count_net_weekly_mean,start_period_afternoon,start_period_evening,start_period_morning,start_period_overnight,station_cluster_0,station_cluster_1,station_cluster_2,station_cluster_3,station_cluster_4,station_cluster_5,station_cluster_6,station_cluster_7,station_cluster_8,start_dow_Friday,start_dow_Monday,start_dow_Saturday,start_dow_Sunday,start_dow_Thursday,start_dow_Tuesday,start_dow_Wednesday,trip_count_predicted
94018,2019-03-01 00:00:00+00:00,41,31,True,22.0,21.0,-1.0,-11.0,-2.0,-1.0,-3.0,-1.6666666666666667,-0.43478260869565216,-4.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.0
94019,2019-03-01 00:00:00+00:00,42,19,True,23.0,19.0,-4.0,-9.0,-3.0,-2.0,-1.0,-1.3333333333333333,0.2,-3.75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-3.0
94020,2019-03-01 00:00:00+00:00,43,31,True,21.0,30.0,9.0,-5.0,5.0,5.0,3.0,1.3333333333333333,-1.6363636363636365,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
94021,2019-03-01 00:00:00+00:00,44,31,True,47.0,59.0,12.0,13.0,12.0,9.0,8.0,8.0,3.5416666666666665,10.5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.0
94022,2019-03-01 00:00:00+00:00,47,31,True,21.0,14.0,-7.0,-6.0,-3.0,2.0,-4.0,-5.333333333333333,-0.09523809523809523,-2.75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-5.0
94023,2019-03-01 00:00:00+00:00,49,30,True,22.0,8.0,-14.0,-9.0,-11.0,-3.0,-8.0,-5.166666666666667,-0.6666666666666666,-7.75,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.0
94024,2019-03-01 00:00:00+00:00,50,39,True,56.0,27.0,-29.0,-23.0,-25.0,-15.0,-22.0,-14.0,-1.2173913043478262,-21.25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-17.0
94025,2019-03-01 00:00:00+00:00,51,27,True,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0
94026,2019-03-01 00:00:00+00:00,52,27,True,5.0,10.0,5.0,2.0,7.0,1.0,0.0,-0.16666666666666666,-1.9545454545454546,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
94027,2019-03-01 00:00:00+00:00,53,27,True,7.0,9.0,2.0,1.0,5.0,2.0,2.0,1.5,-0.5454545454545454,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
